Комп’ютер;9;25;10480005;104;8385;8385;8385
Принтер;9;25;10480006;104;3108;3108;3108
Комп’ютер;9;25;10480007;104;14777;14777;14777
Принтер;9;25;10480008;104;577;577;577
Принтер;9;25;10480004;104;1199;1199;1199
Комп’ютер;9;25;10480003;104;7089;7089;7089
Комп’ютер;9;25;10480009;104;4852;4852;4852
Принтер HP LaserJet P2055;9;25;10480030;104;3403;3403;1501
Системний блок;10;25;10480011;104;2677;2677;2677
Системний блок;10;25;10480012;104;2677;2677;2677
Системний блок;10;25;10480013;104;2676;2676;2676
Системний блок;10;25;10480014;104;2676;2676;2676
Системний блок;10;25;10480015;104;2676;2676;2676
Системний блок;10;25;10480016;104;2676;2676;2676
Системний блок;10;25;10480017;104;2676;2676;2676
Системний блок;10;25;10480018;104;2676;2676;2676
Системний блок;10;25;10480019;104;2676;2676;2676
Принтер Canon LBP-2900;10;25;10480020;104;865;865;865
Принтер Canon LBP-2901;10;25;10480021;104;865;865;865
Системний блок;15;25;10480031;104;5504;5504;2109
"Монітор 22"" Philips";15;25;10480032;104;1690;1690;647
БФП HP LaserJet M1132;15;25;10480033;104;3145;3145;1206
Ноутбук Acer eMachines;14;25;10480034;104;4600;4600;1762
Проектор мультимедійний;14;25;10480035;104;5697;5697;2186
Проекційний екран;14;25;10480036;104;1072;1072;410
Системний блок;14;25;10480037;104;5504;5504;2109
"Монітор 19"" Philips";14;25;10480038;104;1320;1320;506
БФП Canon i-Sensys;14;25;10480039;104;3567;3567;1369
Сейф;16;25;10490007;104;1650;1650;852
Системн. блок на базі AMD;16;25;10480040;104;2880;2880;1488
Комп’ютер;12;25;10480001;104;10405;10405;10405
Монітор;12;25;10480010;104;1059;1059;1059
Комп’ютер;12;25;10480002;104;3688;3688;3688
Ксерокс;12;25;10490001;104;2147;2147;2147
Комп’ютер АРМ (ПМПК);12;25;10480026;104;5115;5115;3302
Ксерокс;12;25;10490002;104;1459;1459;1459
МЕР CANON MF4320;12;25;10490003;104;3133;3133;1356
Системний блок Celeron;12;25;10480027;104;5373;5373;2373
Монітор Philips MWE1192T;12;25;10480028;104;1277;1277;565
Ноутбук ACER Extenca;12;25;10480029;104;5149;5149;2275
Набір дид. мат. та ігор;12;25;10490004;104;1500;1500;651
Слуховий тренажер;12;25;10490005;104;18333;18333;7944
Компл. коррекц.обладн.;12;25;10490006;104;3333;3333;1444
мультиф. МЕР MP Laser;14;25;10480021;104;1654;1654;1654
Комп’ютер;14;25;10480022;104;4200;4200;4200
Комп’ютер;14;25;10480023;104;4200;4200;4200
Комп’ютер;14;25;10480024;104;4200;4200;4200
Комп’ютер;14;25;10480025;104;4200;4200;4200
Комп’ютер CPU Celeron;14;25;10480020;104;4201;4201;4201
Автомашина Daewoo Lanos;13;33;10510005;105;50356;50356;50356
Автомашина;12;33;10510004;105;27809;27809;27809
Автомашина;12;33;10510003;105;2762;2762;2762
Телефон-факс;9;44;10620001;106;1046;1046;1046
Обчислювальна машина;9;44;10620002;106;1089;1089;1089
Стіл;10;44;10630005;106;393;393;393
Стіл;10;44;10630004;106;393;393;393
Стіл;10;44;10630003;106;392;392;392
Стіл;10;44;10630002;106;392;392;392
Стіл;10;44;10630001;106;392;392;392
Шафа книжна (кон. зал);18;45;10630006;106;2000;2000;768
Шафа книжна;18;45;10630007;106;2000;2000;768
Шафа книжна;18;45;10630008;106;2000;2000;768
Шафа для одягу (кон. зал);18;45;10630009;106;2000;2000;768
Шафа для одягу;18;45;10630010;106;2000;2000;768
Стіл робочий (кон. зал);18;45;10630011;106;2800;2800;1072
Конференс-стіл;18;45;10630012;106;2200;2200;842
Крісло офісне (кон. зал);18;45;10630013;106;1450;1450;555
